,M_Call_Name,M_Call_Arg,Receiver_var,File_Name,MethodName,M_Call_Arg_len,MethodClass,Swap_arg_listing
2,"admin,site,register","PayPalNVP ; <class 'str'>, PayPalNVPAdmin ; <class 'str'>",,D:\Testing\14\y-a-r-g\idea-color-themes\paypal\pro\admin.py,register,2,admin, PayPalNVPAdmin ; <class 'str'> PayPalNVP ; <class 'str'>
3,patterns,"paypal.standard.ipn.views ; <class 'str'>, List_value ; List",urlpatterns,D:\Testing\14\y-a-r-g\idea-color-themes\paypal\standard\ipn\tests\test_urls.py,patterns,2,, List_value ; List paypal.standard.ipn.views ; <class 'str'>
4,patterns,"paypal.standard.pdt.views ; <class 'str'>, List_value ; List",urlpatterns,D:\Testing\14\y-a-r-g\idea-color-themes\paypal\standard\pdt\tests\test_urls.py,patterns,2,, List_value ; List paypal.standard.pdt.views ; <class 'str'>
5,patterns,"paypal.standard.pdt.views ; <class 'str'>, ",urlpatterns,D:\Testing\14\y-a-r-g\idea-color-themes\paypal\standard\pdt\urls.py,patterns,2,,paypal.standard.pdt.views ; <class 'str'>
6,getattr,"settings ; <class 'str'>, PAYPAL_TEST ; <class 'str'>, True ; <class 'bool'>",TEST,D:\Testing\14\y-a-r-g\idea-color-themes\paypal\standard\conf.py,getattr,3,, True ; <class 'bool'>  PAYPAL_TEST ; <class 'str'> settings ; <class 'str'>
7,getattr,"settings ; <class 'str'>, PAYPAL_IMAGE ; <class 'str'>, http://images.paypal.com/images/x-click-but01.gif ; <class 'str'>",IMAGE,D:\Testing\14\y-a-r-g\idea-color-themes\paypal\standard\conf.py,getattr,3,, http://images.paypal.com/images/x-click-but01.gif ; <class 'str'>  PAYPAL_IMAGE ; <class 'str'> settings ; <class 'str'>
8,getattr,"settings ; <class 'str'>, PAYPAL_SUBSCRIPTION_IMAGE ; <class 'str'>, https://www.paypal.com/en_US/i/btn/btn_subscribeCC_LG.gif ; <class 'str'>",SUBSCRIPTION_IMAGE,D:\Testing\14\y-a-r-g\idea-color-themes\paypal\standard\conf.py,getattr,3,, https://www.paypal.com/en_US/i/btn/btn_subscribeCC_LG.gif ; <class 'str'>  PAYPAL_SUBSCRIPTION_IMAGE ; <class 'str'> settings ; <class 'str'>
9,getattr,"settings ; <class 'str'>, PAYPAL_DONATION_IMAGE ; <class 'str'>, https://www.paypal.com/en_US/i/btn/btn_donateCC_LG.gif ; <class 'str'>",DONATION_IMAGE,D:\Testing\14\y-a-r-g\idea-color-themes\paypal\standard\conf.py,getattr,3,, https://www.paypal.com/en_US/i/btn/btn_donateCC_LG.gif ; <class 'str'>  PAYPAL_DONATION_IMAGE ; <class 'str'> settings ; <class 'str'>
10,getattr,"settings ; <class 'str'>, PAYPAL_SANDBOX_IMAGE ; <class 'str'>, https://www.sandbox.paypal.com/en_US/i/btn/btn_buynowCC_LG.gif ; <class 'str'>",SANDBOX_IMAGE,D:\Testing\14\y-a-r-g\idea-color-themes\paypal\standard\conf.py,getattr,3,, https://www.sandbox.paypal.com/en_US/i/btn/btn_buynowCC_LG.gif ; <class 'str'>  PAYPAL_SANDBOX_IMAGE ; <class 'str'> settings ; <class 'str'>
11,getattr,"settings ; <class 'str'>, PAYPAL_SUBSCRIPTION_SANDBOX_IMAGE ; <class 'str'>, https://www.sandbox.paypal.com/en_US/i/btn/btn_subscribeCC_LG.gif ; <class 'str'>",SUBSCRIPTION_SANDBOX_IMAGE,D:\Testing\14\y-a-r-g\idea-color-themes\paypal\standard\conf.py,getattr,3,, https://www.sandbox.paypal.com/en_US/i/btn/btn_subscribeCC_LG.gif ; <class 'str'>  PAYPAL_SUBSCRIPTION_SANDBOX_IMAGE ; <class 'str'> settings ; <class 'str'>
