,M_Call_Name,M_Call_Arg,Receiver_var,File_Name,MethodName,M_Call_Arg_len,MethodClass,Swap_arg_listing
0,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\BasicWolf\kaylee\doc\src\conf.py,insert,2,sys,0 ; <class 'int'>
1,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\BasicWolf\kaylee\doc\src\conf.py,insert,2,sys,0 ; <class 'int'>
2,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\BasicWolf\kaylee\doc\src\conf.py,insert,2,sys,0 ; <class 'int'>
3,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\BasicWolf\kaylee\doc\src\conf.py,insert,2,sys,0 ; <class 'int'>
4,patterns,"kaylee.contrib.frontends.django_frontend.views ; <class 'str'>, , , ",urlpatterns,D:\Testing\BasicWolf\kaylee\kaylee\contrib\frontends\django_frontend\urls.py,patterns,4,,kaylee.contrib.frontends.django_frontend.views ; <class 'str'>
5,Blueprint,"kaylee_blueprint ; <class 'str'>, __name__ ; <class 'str'>",bp,D:\Testing\BasicWolf\kaylee\kaylee\contrib\frontends\flask_frontend\flask_frontend.py,Blueprint,2,, __name__ ; <class 'str'> kaylee_blueprint ; <class 'str'>
6,_pjoin,"CURRENT_DIR ; <class 'str'>, command_manager_tests_resources/ ; <class 'str'>",RES_DIR,D:\Testing\BasicWolf\kaylee\kaylee\testsuite\commands_manager_tests.py,_pjoin,2,, command_manager_tests_resources/ ; <class 'str'> CURRENT_DIR ; <class 'str'>
9,"admin,site,add_action","merge_selected_objects ; <class 'str'>, merge_selected_objects ; <class 'str'>",,D:\Testing\baskoopmans\djcommon\djcommon\admin.py,add_action,2,admin, merge_selected_objects ; <class 'str'> merge_selected_objects ; <class 'str'>
10,property,"_get_field_names ; <class 'str'>, _set_field_names ; <class 'str'>",field_names,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_field_names ; <class 'str'>, _set_field_names ; <class 'str'>"
11,property,"_get_align ; <class 'str'>, _set_align ; <class 'str'>",align,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_align ; <class 'str'>, _set_align ; <class 'str'>"
12,property,"_get_valign ; <class 'str'>, _set_valign ; <class 'str'>",valign,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_valign ; <class 'str'>, _set_valign ; <class 'str'>"
13,property,"_get_max_width ; <class 'str'>, _set_max_width ; <class 'str'>",max_width,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_max_width ; <class 'str'>, _set_max_width ; <class 'str'>"
14,property,"_get_fields ; <class 'str'>, _set_fields ; <class 'str'>",fields,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_fields ; <class 'str'>, _set_fields ; <class 'str'>"
15,property,"_get_start ; <class 'str'>, _set_start ; <class 'str'>",start,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_start ; <class 'str'>, _set_start ; <class 'str'>"
16,property,"_get_end ; <class 'str'>, _set_end ; <class 'str'>",end,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_end ; <class 'str'>, _set_end ; <class 'str'>"
17,property,"_get_sortby ; <class 'str'>, _set_sortby ; <class 'str'>",sortby,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_sortby ; <class 'str'>, _set_sortby ; <class 'str'>"
18,property,"_get_reversesort ; <class 'str'>, _set_reversesort ; <class 'str'>",reversesort,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_reversesort ; <class 'str'>, _set_reversesort ; <class 'str'>"
19,property,"_get_sort_key ; <class 'str'>, _set_sort_key ; <class 'str'>",sort_key,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_sort_key ; <class 'str'>, _set_sort_key ; <class 'str'>"
20,property,"_get_header ; <class 'str'>, _set_header ; <class 'str'>",header,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_header ; <class 'str'>, _set_header ; <class 'str'>"
21,property,"_get_header_style ; <class 'str'>, _set_header_style ; <class 'str'>",header_style,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_header_style ; <class 'str'>, _set_header_style ; <class 'str'>"
22,property,"_get_border ; <class 'str'>, _set_border ; <class 'str'>",border,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_border ; <class 'str'>, _set_border ; <class 'str'>"
23,property,"_get_hrules ; <class 'str'>, _set_hrules ; <class 'str'>",hrules,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_hrules ; <class 'str'>, _set_hrules ; <class 'str'>"
24,property,"_get_vrules ; <class 'str'>, _set_vrules ; <class 'str'>",vrules,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_vrules ; <class 'str'>, _set_vrules ; <class 'str'>"
25,property,"_get_int_format ; <class 'str'>, _set_int_format ; <class 'str'>",int_format,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_int_format ; <class 'str'>, _set_int_format ; <class 'str'>"
26,property,"_get_float_format ; <class 'str'>, _set_float_format ; <class 'str'>",float_format,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_float_format ; <class 'str'>, _set_float_format ; <class 'str'>"
27,property,"_get_padding_width ; <class 'str'>, _set_padding_width ; <class 'str'>",padding_width,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_padding_width ; <class 'str'>, _set_padding_width ; <class 'str'>"
28,property,"_get_left_padding_width ; <class 'str'>, _set_left_padding_width ; <class 'str'>",left_padding_width,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_left_padding_width ; <class 'str'>, _set_left_padding_width ; <class 'str'>"
29,property,"_get_right_padding_width ; <class 'str'>, _set_right_padding_width ; <class 'str'>",right_padding_width,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_right_padding_width ; <class 'str'>, _set_right_padding_width ; <class 'str'>"
30,property,"_get_vertical_char ; <class 'str'>, _set_vertical_char ; <class 'str'>",vertical_char,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_vertical_char ; <class 'str'>, _set_vertical_char ; <class 'str'>"
31,property,"_get_horizontal_char ; <class 'str'>, _set_horizontal_char ; <class 'str'>",horizontal_char,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_horizontal_char ; <class 'str'>, _set_horizontal_char ; <class 'str'>"
32,property,"_get_junction_char ; <class 'str'>, _set_junction_char ; <class 'str'>",junction_char,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_junction_char ; <class 'str'>, _set_junction_char ; <class 'str'>"
33,property,"_get_format ; <class 'str'>, _set_format ; <class 'str'>",format,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_format ; <class 'str'>, _set_format ; <class 'str'>"
34,property,"_get_print_empty ; <class 'str'>, _set_print_empty ; <class 'str'>",print_empty,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_print_empty ; <class 'str'>, _set_print_empty ; <class 'str'>"
35,property,"_get_attributes ; <class 'str'>, _set_attributes ; <class 'str'>",attributes,D:\Testing\BastiPaeltz\codedict\source\lib\prettytable.py,property,2,,"_get_attributes ; <class 'str'>, _set_attributes ; <class 'str'>"
39,patterns," ; <class 'str'>, ",urlpatterns,D:\Testing\batiste\django-page-cms\pages\plugins\jsonexport\admin_urls.py,patterns,2,, ; <class 'str'>
43,"register,tag","placeholder ; <class 'str'>, do_placeholder ; <class 'str'>",,D:\Testing\batiste\django-page-cms\pages\templatetags\pages_tags.py,tag,2,register, do_placeholder ; <class 'str'> placeholder ; <class 'str'>
44,"register,tag","markdownplaceholder ; <class 'str'>, do_markdownlaceholder ; <class 'str'>",,D:\Testing\batiste\django-page-cms\pages\templatetags\pages_tags.py,tag,2,register, do_markdownlaceholder ; <class 'str'> markdownplaceholder ; <class 'str'>
45,"register,tag","imageplaceholder ; <class 'str'>, do_imageplaceholder ; <class 'str'>",,D:\Testing\batiste\django-page-cms\pages\templatetags\pages_tags.py,tag,2,register, do_imageplaceholder ; <class 'str'> imageplaceholder ; <class 'str'>
46,"register,tag","fileplaceholder ; <class 'str'>, do_fileplaceholder ; <class 'str'>",,D:\Testing\batiste\django-page-cms\pages\templatetags\pages_tags.py,tag,2,register, do_fileplaceholder ; <class 'str'> fileplaceholder ; <class 'str'>
