,M_Call_Name,M_Call_Arg,Receiver_var,File_Name,MethodName,M_Call_Arg_len,MethodClass,Swap_arg_listing
0,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\noirbizarre\flask-restplus\doc\conf.py,insert,2,sys,0 ; <class 'int'>
1,Blueprint,"api ; <class 'str'>, __name__ ; <class 'str'>",api_v1,D:\Testing\noirbizarre\flask-restplus\examples\todo_blueprint.py,Blueprint,2,, __name__ ; <class 'str'> api ; <class 'str'>
6,Apidoc,"restplus_doc ; <class 'str'>, __name__ ; <class 'str'>",apidoc,D:\Testing\noirbizarre\flask-restplus\flask_restplus\apidoc.py,Apidoc,2,, __name__ ; <class 'str'> restplus_doc ; <class 'str'>
7,time,"0 ; <class 'int'>, 0 ; <class 'int'>, 0 ; <class 'int'>",START_OF_DAY,D:\Testing\noirbizarre\flask-restplus\flask_restplus\inputs.py,time,3,, 0 ; <class 'int'>  0 ; <class 'int'> 0 ; <class 'int'>
8,time,"23 ; <class 'int'>, 59 ; <class 'int'>, 59 ; <class 'int'>, 999999 ; <class 'int'>",END_OF_DAY,D:\Testing\noirbizarre\flask-restplus\flask_restplus\inputs.py,time,4,, 999999 ; <class 'int'>  59 ; <class 'int'>  59 ; <class 'int'> 23 ; <class 'int'>
10,partial,"<ast.Name object at 0x00000232AB41FB50> ;<class 'ast.Name'>, Hello {name} ;<class 'str'>",field_class,D:\Testing\noirbizarre\flask-restplus\tests\test_fields.py,partial,2,, Hello {name} ;<class 'str'> <ast.Name object at 0x00000232AB41FB50> ;<class 'ast.Name'>
11,partial,"<ast.Name object at 0x00000232AB411F40> ;<class 'ast.Name'>, endpoint ;<class 'str'>",field_class,D:\Testing\noirbizarre\flask-restplus\tests\test_fields.py,partial,2,, endpoint ;<class 'str'> <ast.Name object at 0x00000232AB411F40> ;<class 'ast.Name'>
12,partial,"<ast.Name object at 0x00000232AB2F0AC0> ;<class 'ast.Name'>, <ast.Name object at 0x00000232AB2F0C10> ;<class 'ast.Name'>",field_class,D:\Testing\noirbizarre\flask-restplus\tests\test_fields.py,partial,2,, <ast.Name object at 0x00000232AB2F0C10> ;<class 'ast.Name'> <ast.Name object at 0x00000232AB2F0AC0> ;<class 'ast.Name'>
13,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\noplay\python-mysql-replication\docs\conf.py,insert,2,sys,0 ; <class 'int'>
14,execute,"conn ; <class 'str'>, ",,D:\Testing\noplay\python-mysql-replication\pymysqlreplication\tests\benchmark.py,execute,2,,conn ; <class 'str'>
