,M_Call_Name,M_Call_Arg,Receiver_var,File_Name,MethodName,M_Call_Arg_len,Swap_arg_listing,MethodClass
0,Blueprint,"baz ; <class 'str'>, __name__ ; <class 'str'>",blueprint,D:\Testing\10\thisissoon\Flask-Via\flask_via\examples\blueprints\baz\__init__.py,Blueprint,2, __name__ ; <class 'str'> baz ; <class 'str'>,
4,getattr,"settings ; <class 'str'>, BACKWARD_IGNORE_VIEWNAMES ; <class 'str'>, List_value ; List",IGNORE_VIEWNAMES,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, List_value ; List  BACKWARD_IGNORE_VIEWNAMES ; <class 'str'> settings ; <class 'str'>,
5,getattr,"settings ; <class 'str'>, BACKWARD_IGNORE_URLS ; <class 'str'>, List_value ; List",IGNORE_URLS,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, List_value ; List  BACKWARD_IGNORE_URLS ; <class 'str'> settings ; <class 'str'>,
6,getattr,"settings ; <class 'str'>, BACKWARD_END_IGNORE_URLS ; <class 'str'>, List_value ; List",END_IGNORE_URLS,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, List_value ; List  BACKWARD_END_IGNORE_URLS ; <class 'str'> settings ; <class 'str'>,
7,getattr,"settings ; <class 'str'>, BACKWARD_URL_REDIRECT_NAME ; <class 'str'>, url_redirect ; <class 'str'>",URL_REDIRECT_NAME,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, url_redirect ; <class 'str'>  BACKWARD_URL_REDIRECT_NAME ; <class 'str'> settings ; <class 'str'>,
8,getattr,"settings ; <class 'str'>, BACKWARD_NEXT_ACTION_NAME ; <class 'str'>, next_action ; <class 'str'>",NEXT_ACTION_NAME,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, next_action ; <class 'str'>  BACKWARD_NEXT_ACTION_NAME ; <class 'str'> settings ; <class 'str'>,
9,getattr,"settings ; <class 'str'>, BACKWARD_DEFAULT_REDIRECT_URL ; <class 'str'>, / ; <class 'str'>",DEFAULT_REDIRECT_URL,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, / ; <class 'str'>  BACKWARD_DEFAULT_REDIRECT_URL ; <class 'str'> settings ; <class 'str'>,
10,getattr,"settings ; <class 'str'>, BACKWARD_LOGIN_URL ; <class 'str'>, <ast.Name object at 0x0000022BADD7D340> ; <class 'ast.Name'>",LOGIN_URL,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, <ast.Name object at 0x0000022BADD7D340> ; <class 'ast.Name'>  BACKWARD_LOGIN_URL ; <class 'str'> settings ; <class 'str'>,
11,getattr,"settings ; <class 'str'>, BACKWARD_IGNORE_AJAX ; <class 'str'>, True ; <class 'bool'>",IGNORE_AJAX,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, True ; <class 'bool'>  BACKWARD_IGNORE_AJAX ; <class 'str'> settings ; <class 'str'>,
12,getattr,"settings ; <class 'str'>, BACKWARD_LOGIN_REDIRECT_URL ; <class 'str'>, <ast.Name object at 0x0000022BAE180250> ; <class 'ast.Name'>",LOGIN_REDIRECT_URL,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, <ast.Name object at 0x0000022BAE180250> ; <class 'ast.Name'>  BACKWARD_LOGIN_REDIRECT_URL ; <class 'str'> settings ; <class 'str'>,
13,getattr,"settings ; <class 'str'>, BACKWARD_BACKEND_CLASS ; <class 'str'>, backward.backends.session.SessionBackend ; <class 'str'>",BACKEND_CLASS,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, backward.backends.session.SessionBackend ; <class 'str'>  BACKWARD_BACKEND_CLASS ; <class 'str'> settings ; <class 'str'>,
14,getattr,"settings ; <class 'str'>, BACKWARD_COOKIE_DOMAIN ; <class 'str'>, <ast.Name object at 0x0000022BAE180AC0> ; <class 'ast.Name'>",COOKIE_DOMAIN,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, <ast.Name object at 0x0000022BAE180AC0> ; <class 'ast.Name'>  BACKWARD_COOKIE_DOMAIN ; <class 'str'> settings ; <class 'str'>,
15,getattr,"settings ; <class 'str'>, BACKWARD_COOKIE_SECURE ; <class 'str'>, <ast.Name object at 0x0000022BADF9F6D0> ; <class 'ast.Name'>",COOKIE_SECURE,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, <ast.Name object at 0x0000022BADF9F6D0> ; <class 'ast.Name'>  BACKWARD_COOKIE_SECURE ; <class 'str'> settings ; <class 'str'>,
16,getattr,"settings ; <class 'str'>, BACKWARD_COOKIE_MAX_AGE ; <class 'str'>, 3600 ; <class 'int'>",COOKIE_MAX_AGE,D:\Testing\10\thoas\django-backward\backward\settings.py,getattr,3, 3600 ; <class 'int'>  BACKWARD_COOKIE_MAX_AGE ; <class 'str'> settings ; <class 'str'>,
21,property,", None ;<class 'NoneType'>, None ;<class 'NoneType'>, Attributes, e.g. {'fg': 34, 'bold': True} where 34 is the escape code for ... ;<class 'str'>",atts,D:\Testing\10\thomasballinger\curtsies\curtsies\formatstring.py,property,6, 'bold': True} where 34 is the escape code for ... ;<class 'str'>  e.g. {'fg': 34  Attributes  None ;<class 'NoneType'>  None ;<class 'NoneType'> ,
22,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\10\thomasballinger\curtsies\docs\conf.py,insert,2,0 ; <class 'int'>,sys
23,"sys,path,insert","0 ; <class 'int'>, ",,D:\Testing\10\thomasballinger\curtsies\docs\conf.py,insert,2,0 ; <class 'int'>,sys
